address,city,zip,beds,bathf,bathp,carg,price,sqft,pid,soldatpr,soldatdate,listedatdate,schooldistance,neighborhood
1507 Knox Avenue N,Minneapolis,55411,3,1,0,2,169000,1682,pid_20272299/,169000,2018-01-19,2017-10-11,0.6,Willard - Hay
3115 Knox Avenue N,Minneapolis,55411,2,1,0,1,149900,792,pid_19983866,149900,2018-01-19,2017-09-22,0.7,Jordan
3318 Johnson Street NE,Minneapolis,55418,3,2,0,3,215000,1700,pid_19946180/,215000,2018-01-19,2017-09-20,0.2,Waite Park
4312 Beard Avenue S,Minneapolis,55410,4,2,2,3,939144,3467,pid_19680739/,939144,2018-01-19,2017-08-31,0.3,Linden Hills
963 Montana Avenue W,Saint Paul,55117,4,1,1,3,280000,2403,pid_19256249/,280000,2018-01-19,2017-08-03,0.7,Como
2200 E 38th Street,Minneapolis,55407,3,1,0,3,135000,1056,pid_19108636/,135000,2018-01-19,2017-07-26,0.6,Standish
1611 Juno Avenue,Saint Paul,55116,3,1,0,2,261500,1720,pid_20554342/,261500,2018-01-18,2017-10-23,0.3,Highland
2423 W 22nd Street,Minneapolis,55405,4,2,1,3,908275,3133,pid_19426904/,908275,2018-01-17,2017-08-15,0.2,Kenwood
940 Iroquois Avenue,Saint Paul,55119,1,1,0,5,137000,652,pid_21250232/,137000,2018-01-18,2017-12-07,0.5,Greater East Side
5110 Morgan Avenue N,Minneapolis,55430,4,1,1,3,200000,1738,pid_21226736/,200000,2017-07-26,2017-02-03,0.2,Shingle Creek
1047 Wilson Avenue,Saint Paul,55106,3,1,1,3,208000,1635,pid_21084320/,208000,2018-01-18,2017-11-13,0.5,Dayton's Bluff
721 Simon Avenue,Saint Paul,55117,3,1,1,2,145000,1189,pid_21008493/,145000,2017-12-29,2017-11-15,0.2,Como
5247 14th Avenue S,Minneapolis,55417,3,1,1,3,293500,1715,pid_20976612/,293500,2018-01-17,2017-11-13,0.2,Hale
2116 2nd Avenue N,Minneapolis,55405,3,2,1,3,238000,1800,pid_20767431/,238000,2018-01-26,2017-11-01,0.5,Harrison
1703 Sheridan Avenue,Saint Paul,55116,2,1,0,2,170000,1056,pid_20686630/,170000,2018-01-17,2017-10-27,0.6,Highland
451 Selby Avenue,Saint Paul,55102,3,2,1,3,517500,2174,pid_20414024/,517500,2017-01-18,2017-10-21,0.8,Summit/University
6132 Washburn Avenue S,Minneapolis,55410,3,1,1,3,290000,2071,pid_20388010/,290000,2018-01-18,2017-10-19,1.0,Armatage
398 Banfil Street,Saint Paul,55102,3,1,0,1,150000,837,pid_20164989/,150000,2018-01-18,2017-10-04,1.7,West Seventh
1687 7th Street E,Saint Paul,55106,3,1,0,2,85600,902,pid_20163154/,85600,2018-01-18,2017-10-04,0.6,Greater East Side
751 Oakdale Avenue,Saint Paul,55107,2,1,0,1,138000,1021,pid_20035259/,138000,2018-01-18,2017-09-19,0.3,West Side
3756 10th Avenue S,Minneapolis,55407,3,1,1,1,214900,1248,pid_19919334/,214900,2018-01-18,2017-09-18,1.5,Powderhorn Park
5509 Fremont Avenue S,Minneapolis,55419,4,1,1,2,304500,2106,pid_19364357/,304500,2018-01-18,2017-08-10,0.3,Kenny
2930 Sheridan Avenue N,Minneapolis,55411,2,1,0,1,65000,780,pid_19080954/,65000,2018-01-18,2017-07-24,0.4,Jordan
3821 4th Avenue S,Minneapolis,55409,2,1,0,1,102000,1186,pid_21293389/,102000,2018-01-17,2017-12-12,0.4,Bryant
1806 Jefferson Avenue,Saint Paul,55105,4,1,1,3,375000,1692,pid_21141306/,375000,2018-01-17,2017-11-29,0.5,Macalester-Groveland
5608 Vincent Avenue S,Minneapolis,55410,3,1,2,3,480000,2040,pid_20668634/,480000,2018-01-17,2017-10-26,0.9,Armatage
4611 Dupont Avenue S,Minneapolis,55419,4,1,1,3,750000,2650,pid_19921831/,750000,2018-01-17,2017-09-18,0.6,Lynnhurst
3751 Pillsbury Avenue S,Minneapolis,55409,3,1,1,1,314900,1620,pid_19792441/,314900,2018-01-17,2017-09-08,0.5,King Field
2823 Grand Street NE,Minneapolis,55418,2,1,0,3,200000,960,pid_21346332/,200000,2018-01-17,2017-02-15,1.8,Marshall Terrace
3823 Upton Avenue N,Minneapolis,55412,3,2,0,2,230000,1692,pid_21246215/,230000,2018-01-17,2017-12-07,0.8,Cleveland
3815 Penn Avenue N,Minneapolis,55412,3,1,0,3,149000,1968,pid_21178785/,149000,2018-01-17,2017-12-01,0.7,Cleveland
5246 13th Avenue S,Minneapolis,55417,3,1,0,2,347150,1450,pid_21032792/,347150,2018-01-17,2017-11-17,0.1,Hale
1243 Fremont Avenue,Saint Paul,55106,2,2,0,2,137000,1405,pid_20857445/,137000,2018-01-17,2017-11-07,0.6,Dayton's Bluff
2931 Tyler Street NE,Minneapolis,55418,4,2,2,3,404400,560,pid_20213974/,404400,2018-01-17,2017-10-07,0.6,Audubon Park
1860 Laurel Avenue,Saint Paul,55104,4,2,0,3,390000,2281,pid_19952719/,390000,2018-01-17,2017-09-20,0.4,Summit/University
801 Lafond Avenue,Saint Paul,55104,2,1,0,2,80150,1044,pid_19647964/,80150,2018-01-17,2017-08-29,0.5,Thomas/Dale(Frogtown)
3315 Bryant Avenue N,Minneapolis,55412,3,1,0,3,90000,1248,pid_19162785/,90000,2018-01-17,2017-07-26,0.3,Mckinley
5424 Bryant Avenue S,Minneapolis,55419,3,2,0,3,410000,1955,pid_19108522/,410000,2018-01-17,2017-07-26,0.4,Kenny
861 Albert Street N,Saint Paul,55104,6,2,0,4,259000,2250,pid_18760879/,259000,2018-01-17,2017-07-05,0.5,Hamline/Midway
1677 Juno Avenue,Saint Paul,55116,4,1,3,3,560000,2182,pid_18420831/,560000,2018-01-17,2017-06-12,0.5,Highland
512 W 34th Street,Minneapolis,55408,3,1,1,3,389000,1344,pid_21204968/,389000,2018-01-16,2017-12-04,0.1,Lyndale
1856 Wordsworth Avenue,Saint Paul,55116,4,1,0,3,280000,1648,pid_21103498/,280000,2018-01-16,2017-11-24,0.8,Highland
1036 Milton Street N,Saint Paul,55103,1,1,0,2,116000,705,pid_21006974/,116000,2018-01-16,2017-11-14,0.4,Como
4905 29th Avenue S,Minneapolis,55417,3,1,0,2,185000,1325,pid_20701173/,185000,2018-01-16,2017-10-27,0.4,Keewaydin
2058 James Avenue,Saint Paul,55105,4,1,1,3,316500,1999,pid_20684596/,316500,2018-01-16,2017-10-27,0.5,Jordan
1675 Woodbridge Street,Saint Paul,55117,3,1,0,2,105000,2310,pid_20671466/,105000,2018-01-16,2017-10-26,1.5,North End
3023 Newton Avenue N,Minneapolis,55411,2,2,0,3,93000,1004,pid_20629643/,93000,2018-01-16,2017-10-24,0.3,Jordan
4740 Nicollet Avenue,Minneapolis,55419,3,1,0,2,275000,1308,pid_20347187/,275000,2018-01-16,2017-10-17,0.2,Tangletown
1501 Thomas Avenue N,Minneapolis,55411,3,1,1,2,167600,1757,pid_20338000/,167600,2018-01-16,2017-10-16,0.7,Willard - Hay
2008 Seabury Avenue,Minneapolis,55406,3,2,2,3,365000,1330,pid_20155695/,365000,2018-01-16,2017-10-04,0.7,Seward
2701 N Oliver Avenue,Minneapolis,55411,5,2,1,3,245000,2124,pid_19491584/,245000,2018-01-16,2017-08-17,0.6,Jordan
141 Belvidere Street E,Saint Paul,55107,5,1,1,2,245000,2004,pid_21690398/,245000,2018-01-16,2017-12-30,0.3,West Side
1685 Watson Avenue,Saint Paul,55116,3,1,0,2,203000,1108,pid_21318991/,203000,2018-01-16,2017-12-14,0.5,Highland
