address,city,zip,beds,bathf,bathp,carg,price,pid,sqft,lotsize,soldat,listedat,schname,schaddr,schgd,schdist,schdstr
4312 Beard Avenue S,Minneapolis,55410,4,2,2,3,939144,pid_19680739/,3467,,,,,,,,
963 Montana Avenue W,Saint Paul,55117,4,1,1,3,280000,pid_19256249/,2403,,,,,,,,
2200 E 38th Street,Minneapolis,55407,3,1,0,3,135000,pid_19108636/,1056,,,,,,,,
1611 Juno Avenue,Saint Paul,55116,3,1,0,2,261500,pid_20554342/,1720,,,,,,,,
2423 W 22nd Street,Minneapolis,55405,4,2,1,3,908275,pid_19426904/,3133,,,,,,,,
940 Iroquois Avenue,Saint Paul,55119,1,1,0,5,137000,pid_21250232/,652,,,,,,,,
5110 Morgan Avenue N,Minneapolis,55430,4,1,1,3,200000,pid_21226736/,1738,,,,,,,,
1047 Wilson Avenue,Saint Paul,55106,3,1,1,3,208000,pid_21084320/,1635,,,,,,,,
721 Simon Avenue,Saint Paul,55117,3,1,1,2,145000,pid_21008493/,1189,,,,,,,,
5247 14th Avenue S,Minneapolis,55417,3,1,1,3,293500,pid_20976612/,1715,,,,,,,,
2116 2nd Avenue N,Minneapolis,55405,3,2,1,3,238000,pid_20767431/,1800,,,,,,,,
1703 Sheridan Avenue,Saint Paul,55116,2,1,0,2,170000,pid_20686630/,1056,,,,,,,,
451 Selby Avenue,Saint Paul,55102,3,2,1,3,517500,pid_20414024/,2174,,,,,,,,
6132 Washburn Avenue S,Minneapolis,55410,3,1,1,3,290000,pid_20388010/,2071,,,,,,,,
398 Banfil Street,Saint Paul,55102,3,1,0,1,150000,pid_20164989/,837,,,,,,,,
1687 7th Street E,Saint Paul,55106,3,1,0,2,85600,pid_20163154/,902,,,,,,,,
751 Oakdale Avenue,Saint Paul,55107,2,1,0,1,138000,pid_20035259/,1021,,,,,,,,
3756 10th Avenue S,Minneapolis,55407,3,1,1,1,214900,pid_19919334/,1248,,,,,,,,
5509 Fremont Avenue S,Minneapolis,55419,4,1,1,2,304500,pid_19364357/,2106,,,,,,,,
2930 Sheridan Avenue N,Minneapolis,55411,2,1,0,1,65000,pid_19080954/,780,,,,,,,,
3821 4th Avenue S,Minneapolis,55409,2,1,0,1,102000,pid_21293389/,1186,,,,,,,,
